name_unqual,cnt
IsStrict?,11
_>_,11
rawMonoid,11
rawNearSemiring,11
extractStrict,11
_*HN_,10
strictPartialOrder,10
commutativeSemigroup,10
_≈H_,10
rawRing,10
isDecTotalOrder,10
-‿homo,10
0≈⟦0⟧,10
≤-antisym,10
1N,10
≤-trans,10
1N-homo,10
step-∼,10
⟦_⟧H-cong,10
+N-homo,10
*x+H-homo,10
+ᴹ-semigroup,10
_∷ᵣ_,10
0N,10
*x+HN≈*x+,10
⟦_⟧N-cong,10
rightSemimodule,10
_*H_,10
lookup-lift-↑⋆,10
_≟N_,10
+ᴹ-monoid,10
isRing,10
⟦_⟧N,10
_∷ₗ_,10
_*x+H_,10
sem,10
unfold,10
_*N_,10
:-_,10
normalise-var,10
lookup-id,10
ʳ++⁺,10
key,10
_≟H_,10
_:×_,10
leftSemimodule,10
+H-homo,10
-H‿-homo,10
[+],10
dec,10
_:^_,10
lookup-map-weaken,10
normalise-con,10
-H_,10
HNF,10
_^N_,10
_+N_,10
⟦_⟧↓,10
⟦_⟧H,10
isRingWithoutOne,10
_⊉_,10
*HN-homo,10
swap,10
+ᴹ-commutativeMonoid,10
lookup-wk,10
_<*_,10
_⊇_,10
≤-reflexive,10
<-cmp,10
triangle,10
_*NH_,10
1H,10
_*x+HN_,10
*H-homo,10
+ᴹ-magma,10
0H,10
Polynomial,10
lookup-sub-↑⋆,10
rawLeftModule,10
-N_,10
_⊈_,10
isLeftInverse,10
0N-homo,10
∅*x+HN-homo,10
lookup-↑⋆,10
[*],10
correct-con,10
^N-homo,10
isMagmaIsomorphism,10
*N-homo,10
rawRightModule,10
_*>_,10
_+H_,10
weaken-var,10
correct-var,10
lookup-wk-↑⋆-↑⋆,10
-N‿-homo,10
strictTotalOrder,10
Op,10
_:-_,10
*NH-homo,10
_≈N_,10
asym,10
lemmas₀,10
lookup-wk-↑⋆,10
_∷ₙ_,10
headTail,10
suc-/-sub,9
map₂,9
step-⊆,9
fromList⁺,9
var-/,9
find,9
isLeftModule,9
commutativeMonoid,9
later,9
isGroup,9
semiringWithoutOne,9
isRightModule,9
var-/-wk-↑⋆,9
+-commutativeMagma,9
_≯_,9
number,9
loop,9
×-cong,9
quasigroup,9
∧-distrib-∨,9
_≈ᵢ_,9
lookup-⊙,9
∨-distrib-∧,9
isInvertibleMagma,9
ap,9
∨-distribʳ-∧,9
_⋆,9
map₁,9
⊥,9
semiringWithoutAnnihilatingZero,9
monadZero,9
≤-refl,9
<⇒≤,9
member,9
const,9
_∷=_,9
lookup-⨀,9
Disjoint,9
id-⊙,9
wk-⊙-sub,9
compare,9
leftInverse,9
foldl,9
_∤_,9
isSemimodule,9
now,9
lemmas₁,9
isDistributiveLattice,9
⊤,9
right-inverse-of,8
⊆-refl,8
≋-refl,8
∧-idem,8
Morphism,8
isBoundedMeetSemilattice,8
≡-dec,8
lemmas₂,8
mapWith∈,8
≋-isEquivalence,8
_⊔_,8
rawBimodule,8
∧-isOrderTheoreticMeetSemilattice,8
×-homo-+,8
_⇒_,8
inj₂,8
toSum,8
node,8
isBimoduleMonomorphism,8
toList⁺,8
lose,8
≋-sym,8
ring,8
rawSemimodule,8
uniqueˡ‿-ᴹ,8
∨-idem,8
<⇒≱,8
∧-orderTheoreticMeetSemilattice,8
⊆-reflexive,8
quasiSemiMetric,8
maximum,8
+ᴹ-isGroupIsomorphism,8
isBisemimoduleIsomorphism,8
∧-∨-lattice,8
uniqueʳ‿-ᴹ,8
isRingHomomorphism,8
_≋_,8
⊆-preorder,8
align,8
∨-distribˡ-∧,8
∧-∨-isLattice,8
unitalMagma,8
alignWith,8
step-≋-⟩,8
isSemiringMonomorphism,8
≋-setoid,8
*-isMonoidMonomorphism,8
∧-distribʳ-∨,8
rawIApplicative,8
×-congʳ,8
gmap,8
⊆-trans,8
search,8
≤-totalOrder,8
bijective,8
≋-trans,8
*ₗ-*ᵣ-coincident,8
reverse⁻,8
step-≋-⟨,8
inj₁,8
≰⇒>,8
id-vanishes,8
⊆-isPreorder,8
*-commutativeSemigroup,8
*-isMagmaIsomorphism,8
_⊜_,8
∧-isOrderTheoreticJoinSemilattice,8
isNearSemiringMonomorphism,8
sel,8
isBoundedJoinSemilattice,8
commutativeSemiring,8
_⊓_,8
∧-orderTheoreticJoinSemilattice,8
isSemimoduleMonomorphism,8
+-isMonoidIsomorphism,8
⊙-id,8
